what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1419321961810
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1419321961810
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1419321961811
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1419321961811
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1419321961811
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1419321961812
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1419321961812
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1419321961813
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1419321961813
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1419321961814
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1419321961814
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1419321961815
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1419321961815
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1419321961816
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1419321961816
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1419321961817
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1419321961818
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1419321961818
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1419321961819
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1419321961819
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1419321961819
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1419321961820
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1419321961820
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1419321961821
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1419321961822
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1419321961823
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1419321961823
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1419321961824
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1419321961824
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1419321961824
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1419321961825
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1419321961825
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1419321961825
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1419321961826
os,sysinfo,,,"win32",1419321961828
arch,sysinfo,,,"x86",1419321961828
ws,sysinfo,,,"win32",1419321961828
locale,sysinfo,,,"zh_CN",1419321961828
processors,sysinfo,,,"4",1419321961828
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1419321961828
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1419321961828
java.specification.name,sysinfo,,,"Java Platform API Specification",1419321961828
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1419321961828
java.specification.version,sysinfo,,,"1.6",1419321961828
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1419321961828
java.version,sysinfo,,,"1.6.0_23",1419321961828
java.vm.info,sysinfo,,,"mixed mode",1419321961828
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1419321961828
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1419321961828
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1419321961828
java.vm.specification.version,sysinfo,,,"1.0",1419321961828
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1419321961828
java.vm.version,sysinfo,,,"19.0-b09",1419321961828
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1419321962842
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419321963044
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419321965078
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1419321966718
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1419321966779
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1419321966790
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1419321966798
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1419321966801
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1419321966807
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419321969189
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1419321974868
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419321974871
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1419321974895
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419321977306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419321979325
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419321979474
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1419321979648
