what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1417940920371
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417940921293
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1417940934689
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1417940943318
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1417940944272
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417940986499
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1417940988392
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417940989001
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1417940989877
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1417940992734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1417940993359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417941004745
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941005943
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941007730
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941008423
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941022165
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417941024652
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941027223
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941030104
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417941030854
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1417941031464
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941031964
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941036154
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941036857
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941038280
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1417941059064
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941059565
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941062566
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941063159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941065209
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941067569
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941105270
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417941108087
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941111708
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417941114517
