what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1417933656919
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417933662151
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1417933693789
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1417933700459
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1417933706021
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1417933711723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933712041
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933716514
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417933717762
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1417933718408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933718770
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933722039
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1417933724612
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417933726210
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417933726305
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1417933737403
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417933745587
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1417933747090
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933747420
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933750736
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1417933763337
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417933763514
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417933776880
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417933795050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933811702
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933819455
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417933820934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933831662
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933833757
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1417933833765
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417933834229
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417933838468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933842540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933850134
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933850814
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933852635
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933852785
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933853948
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933853983
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933855003
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417933855012
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417933855072
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417933855072
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1417933855086
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417933857739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933861725
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933881583
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1417933881615
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417933882106
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417933893958
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1417933895077
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933895398
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933901401
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1417933903810
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417933908003
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933911532
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933920981
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1417933921011
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1417933926633
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1417933927478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933931290
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933933218
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1417933933230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933933577
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933939054
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933955667
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417933959107
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1417934085732
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417934086202
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417934089214
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417934098792
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417934127887
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417934128811
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417934129309
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417934129677
